tree_id	species
T_75102	Quercus ilex
T_75103	Quercus ilex
T_75118	Quercus ilex
T_75152	Quercus ilex
T_75161	Quercus ilex
T_75164	Quercus ilex
T_75188	Quercus ilex
T_75216	Quercus ilex
T_75222	Quercus ilex
T_75246	Quercus ilex
T_75255	Quercus ilex
T_75265	Quercus ilex
T_75273	Quercus ilex
T_75277	Quercus ilex
T_75616	Quercus ilex
T_75618	Quercus ilex
T_75619	Quercus ilex
T_75621	Quercus ilex
T_75701	Quercus ilex
T_75712	Quercus ilex
T_75724	Quercus ilex
T_76033	Quercus ilex
T_76036	Quercus ilex
T_76102	Quercus ilex
T_76237	Quercus ilex
T_76244	Quercus ilex
T_76266	Quercus ilex
T_76276	Quercus ilex
T_76279	Quercus ilex
T_76284	Quercus ilex
T_76297	Quercus ilex
T_76298	Quercus ilex
T_76300	Quercus ilex
T_76329	Quercus ilex
T_76335	Quercus ilex
T_76463	Quercus ilex
T_76533	Quercus ilex
T_76624	Quercus ilex
T_76626	Quercus ilex
T_76640	Quercus ilex
T_76702	Quercus ilex
T_76762	Quercus ilex
T_76766	Quercus ilex
T_76799	Quercus ilex
T_76817	Quercus ilex
T_76887	Quercus ilex
T_76892	Quercus ilex
T_76910	Quercus ilex
T_76912	Quercus ilex
T_76916	Quercus ilex
T_76962	Quercus ilex
T_77059	Quercus ilex
T_77067	Quercus ilex
T_77086	Quercus ilex
T_77087	Quercus ilex
T_77111	Quercus ilex
T_77158	Quercus ilex
T_77178	Quercus ilex
T_77218	Quercus ilex
T_77252	Quercus ilex
T_77271	Quercus ilex
T_77279	Quercus ilex
T_77284	Quercus ilex
T_77285	Quercus ilex
T_77299	Quercus ilex
T_77302	Quercus ilex
T_77352	Quercus ilex
T_77374	Quercus ilex
T_77389	Quercus ilex
T_77393	Quercus ilex
T_77395	Quercus ilex
T_77410	Quercus ilex
T_77465	Quercus ilex
T_77473	Quercus ilex
T_77500	Quercus ilex
T_77510	Quercus ilex
T_77523	Quercus ilex
T_77525	Quercus ilex
T_77528	Quercus ilex
T_77536	Quercus ilex
T_77539	Quercus ilex
T_77552	Quercus ilex
T_77558	Quercus ilex
T_77627	Quercus ilex
T_77630	Quercus ilex
T_77668	Quercus ilex
T_77691	Quercus ilex
T_77696	Quercus ilex
T_77705	Quercus ilex
T_77746	Quercus ilex
T_77748	Quercus ilex
T_77754	Quercus ilex
T_77779	Quercus ilex
T_77784	Quercus ilex
T_77785	Quercus ilex
T_77818	Quercus ilex
T_77827	Quercus ilex
T_77845	Quercus ilex
T_77850	Quercus ilex
T_77860	Quercus ilex
T_77862	Quercus ilex
T_77898	Quercus ilex
T_77904	Quercus ilex
T_77908	Quercus ilex
T_77943	Quercus ilex
T_77945	Quercus ilex
T_77947	Quercus ilex
T_77954	Quercus ilex
T_77958	Quercus ilex
T_77982	Quercus ilex
T_78027	Quercus ilex
T_78050	Quercus ilex
T_78058	Quercus ilex
T_78082	Quercus ilex
T_78115	Quercus ilex
T_78127	Quercus ilex
T_78128	Quercus ilex
T_78155	Quercus ilex
T_78157	Quercus ilex
T_78158	Quercus ilex
T_78217	Quercus ilex
T_78233	Quercus ilex
T_78288	Quercus ilex
T_78293	Quercus ilex
T_78315	Quercus ilex
T_78317	Quercus ilex
T_78327	Quercus ilex
T_78328	Quercus ilex
T_78360	Quercus ilex
T_78363	Quercus ilex
T_78374	Quercus ilex
T_78404	Quercus ilex
T_78420	Quercus ilex
T_78422	Quercus ilex
T_78471	Quercus ilex
T_78472	Quercus ilex
T_78476	Quercus ilex
T_78477	Quercus ilex
T_78521	Quercus ilex
T_78522	Quercus ilex
T_78560	Quercus ilex
T_78591	Quercus ilex
T_78592	Quercus ilex
T_78593	Quercus ilex
T_78634	Quercus ilex
T_78635	Quercus ilex
T_78638	Quercus ilex
T_78639	Quercus ilex
T_78663	Quercus ilex
T_78701	Quercus ilex
T_78721	Quercus ilex
T_78723	Quercus ilex
T_78737	Quercus ilex
T_78798	Quercus ilex
T_78814	Quercus ilex
T_78822	Quercus ilex
T_78912	Quercus ilex
T_78946	Quercus ilex
T_78963	Quercus ilex
T_78972	Quercus ilex
T_79115	Quercus ilex
T_79205	Quercus ilex
T_79410	Quercus ilex
T_80119	Quercus ilex
T_80168	Quercus ilex
T_80195	Quercus ilex
T_86935	Quercus ilex
T_113866	Quercus ilex
T_113867	Quercus ilex
T_113878	Quercus ilex
T_113886	Quercus ilex
T_113887	Quercus ilex
T_113889	Quercus ilex
T_113894	Quercus ilex
T_113896	Quercus ilex
T_113900	Quercus ilex
T_113906	Quercus ilex
T_113907	Quercus ilex
T_113913	Quercus ilex
T_113929	Quercus ilex
T_113937	Quercus ilex
T_113938	Quercus ilex
T_113941	Quercus ilex
T_113947	Quercus ilex
T_113948	Quercus ilex
T_113954	Quercus ilex
T_113963	Quercus ilex
T_113964	Quercus ilex
T_113965	Quercus ilex
T_113995	Quercus ilex
T_114002	Quercus ilex
T_114004	Quercus ilex
T_114030	Quercus ilex
T_114033	Quercus ilex
T_114037	Quercus ilex
T_114038	Quercus ilex
T_114047	Quercus ilex
T_114049	Quercus ilex
T_114067	Quercus ilex
T_114077	Quercus ilex
T_114082	Quercus ilex
T_114091	Quercus ilex
T_114092	Quercus ilex
T_114093	Quercus ilex
T_114103	Quercus ilex
T_114107	Quercus ilex
T_114115	Quercus ilex
T_114117	Quercus ilex
T_114119	Quercus ilex
T_114124	Quercus ilex
T_114131	Quercus ilex
T_114137	Quercus ilex
T_114147	Quercus ilex
T_114150	Quercus ilex
T_114158	Quercus ilex
T_114163	Quercus ilex
T_114169	Quercus ilex
T_114179	Quercus ilex
T_114189	Quercus ilex
T_114192	Quercus ilex
T_114197	Quercus ilex
T_114201	Quercus ilex
T_114205	Quercus ilex
T_114207	Quercus ilex
T_114212	Quercus ilex
T_114234	Quercus ilex
T_114245	Quercus ilex
T_114247	Quercus ilex
T_114248	Quercus ilex
T_114251	Quercus ilex
T_114255	Quercus ilex
T_114275	Quercus ilex
T_114276	Quercus ilex
T_114280	Quercus ilex
T_114282	Quercus ilex
T_114297	Quercus ilex
T_114302	Quercus ilex
T_114309	Quercus ilex
T_114315	Quercus ilex
T_114316	Quercus ilex
T_114322	Quercus ilex
T_114323	Quercus ilex
T_114326	Quercus ilex
T_114335	Quercus ilex
T_114340	Quercus ilex
T_114341	Quercus ilex
T_114345	Quercus ilex
T_114352	Quercus ilex
T_114362	Quercus ilex
T_114366	Quercus ilex
T_114369	Quercus ilex
T_114388	Quercus ilex
T_114397	Quercus ilex
T_114400	Quercus ilex
T_114445	Quercus ilex
T_114446	Quercus ilex
T_114452	Quercus ilex
T_114454	Quercus ilex
T_114455	Quercus ilex
T_114479	Quercus ilex
T_114480	Quercus ilex
T_114485	Quercus ilex
T_114486	Quercus ilex
T_114490	Quercus ilex
T_114491	Quercus ilex
T_114512	Quercus ilex
T_114530	Quercus ilex
T_114533	Quercus ilex
T_114538	Quercus ilex
T_114557	Quercus ilex
T_114559	Quercus ilex
T_114570	Quercus ilex
T_114608	Quercus ilex
T_114612	Quercus ilex
T_114621	Quercus ilex
T_114625	Quercus ilex
T_114627	Quercus ilex
T_114628	Quercus ilex
T_114629	Quercus ilex
T_114633	Quercus ilex
T_114640	Quercus ilex
T_114646	Quercus ilex
T_114650	Quercus ilex
T_114651	Quercus ilex
T_114657	Quercus ilex
T_114680	Quercus ilex
T_114683	Quercus ilex
T_114692	Quercus ilex
T_114693	Quercus ilex
T_114698	Quercus ilex
T_114718	Quercus ilex
T_114720	Quercus ilex
T_114735	Quercus ilex
T_114749	Quercus ilex
T_114762	Quercus ilex
T_114766	Quercus ilex
T_114776	Quercus ilex
T_114783	Quercus ilex
T_114792	Quercus ilex
T_114797	Quercus ilex
T_114806	Quercus ilex
T_114826	Quercus ilex
T_114834	Quercus ilex
T_114839	Quercus ilex
T_114851	Quercus ilex
T_114857	Quercus ilex
T_114887	Quercus ilex
T_114894	Quercus ilex
T_114897	Quercus ilex
T_114900	Quercus ilex
T_114906	Quercus ilex
T_114907	Quercus ilex
T_114909	Quercus ilex
T_114927	Quercus ilex
T_114928	Quercus ilex
T_114940	Quercus ilex
T_114951	Quercus ilex
T_114958	Quercus ilex
T_114960	Quercus ilex
T_114983	Quercus ilex
T_114986	Quercus ilex
T_114990	Quercus ilex
T_115007	Quercus ilex
T_115013	Quercus ilex
T_115014	Quercus ilex
T_115036	Quercus ilex
T_115037	Quercus ilex
T_115046	Quercus ilex
T_115050	Quercus ilex
T_115064	Quercus ilex
T_115072	Quercus ilex
T_115074	Quercus ilex
T_115077	Quercus ilex
T_115078	Quercus ilex
T_115099	Quercus ilex
T_115101	Quercus ilex
T_115109	Quercus ilex
T_115113	Quercus ilex
T_115114	Quercus ilex
T_115119	Quercus ilex
T_115120	Quercus ilex
T_115135	Quercus ilex
T_115140	Quercus ilex
T_115154	Quercus ilex
T_115163	Quercus ilex
T_115167	Quercus ilex
T_115171	Quercus ilex
T_115174	Quercus ilex
T_115186	Quercus ilex
T_115202	Quercus ilex
T_115205	Quercus ilex
T_115209	Quercus ilex
T_115217	Quercus ilex
T_115219	Quercus ilex
T_115222	Quercus ilex
T_115239	Quercus ilex
T_115240	Quercus ilex
T_115249	Quercus ilex
T_115255	Quercus ilex
T_115256	Quercus ilex
T_115259	Quercus ilex
T_115272	Quercus ilex
T_115276	Quercus ilex
T_115281	Quercus ilex
T_115282	Quercus ilex
T_115300	Quercus ilex
T_115305	Quercus ilex
T_115315	Quercus ilex
T_115318	Quercus ilex
T_115323	Quercus ilex
T_115327	Quercus ilex
T_115333	Quercus ilex
T_115340	Quercus ilex
T_115341	Quercus ilex
T_115342	Quercus ilex
T_115346	Quercus ilex
T_115359	Quercus ilex
T_115364	Quercus ilex
T_115366	Quercus ilex
T_115367	Quercus ilex
T_115368	Quercus ilex
T_115375	Quercus ilex
T_115377	Quercus ilex
T_115386	Quercus ilex
T_115388	Quercus ilex
