tree_id	species
T_75102	Fagus sylvatica
T_75103	Fagus sylvatica
T_75118	Fagus sylvatica
T_75152	Fagus sylvatica
T_75161	Quercus ilex
T_75164	Pinus pinaster
T_75188	Fagus sylvatica
T_75216	Quercus ilex
T_75222	Quercus ilex
T_75246	Pinus pinaster
T_75255	Fagus sylvatica
T_75265	Pinus pinaster
T_75273	Fagus sylvatica
T_75277	Fagus sylvatica
T_75616	Fagus sylvatica
T_75618	Pinus pinaster
T_75619	Quercus ilex
T_75621	Fagus sylvatica
T_75701	Fagus sylvatica
T_75712	Pinus pinaster
T_75724	Pinus pinaster
T_76033	Fagus sylvatica
T_76036	Quercus ilex
T_76102	Pinus pinaster
T_76237	Quercus ilex
T_76244	Quercus ilex
T_76266	Pinus pinaster
T_76276	Pinus pinaster
T_76279	Pinus pinaster
T_76284	Fagus sylvatica
T_76297	Quercus ilex
T_76298	Fagus sylvatica
T_76300	Fagus sylvatica
T_76329	Quercus ilex
T_76335	Fagus sylvatica
T_76463	Fagus sylvatica
T_76533	Quercus ilex
T_76624	Fagus sylvatica
T_76626	Fagus sylvatica
T_76640	Fagus sylvatica
T_76702	Quercus ilex
T_76762	Quercus ilex
T_76766	Quercus ilex
T_76799	Fagus sylvatica
T_76817	Pinus pinaster
T_76887	Pinus pinaster
T_76892	Pinus pinaster
T_76910	Quercus ilex
T_76912	Pinus pinaster
T_76916	Quercus ilex
T_76962	Fagus sylvatica
T_77059	Pinus pinaster
T_77067	Fagus sylvatica
T_77086	Pinus pinaster
T_77087	Pinus pinaster
T_77111	Quercus ilex
T_77158	Quercus ilex
T_77178	Fagus sylvatica
T_77218	Quercus ilex
T_77252	Quercus ilex
T_77271	Pinus pinaster
T_77279	Quercus ilex
T_77284	Quercus ilex
T_77285	Fagus sylvatica
T_77299	Quercus ilex
T_77302	Pinus pinaster
T_77352	Pinus pinaster
T_77374	Fagus sylvatica
T_77389	Fagus sylvatica
T_77393	Pinus pinaster
T_77395	Pinus pinaster
T_77410	Fagus sylvatica
T_77465	Quercus ilex
T_77473	Fagus sylvatica
T_77500	Quercus ilex
T_77510	Fagus sylvatica
T_77523	Fagus sylvatica
T_77525	Quercus ilex
T_77528	Quercus ilex
T_77536	Pinus pinaster
T_77539	Pinus pinaster
T_77552	Pinus pinaster
T_77558	Pinus pinaster
T_77627	Pinus pinaster
T_77630	Quercus ilex
T_77668	Pinus pinaster
T_77691	Fagus sylvatica
T_77696	Pinus pinaster
T_77705	Fagus sylvatica
T_77746	Quercus ilex
T_77748	Fagus sylvatica
T_77754	Quercus ilex
T_77779	Quercus ilex
T_77784	Fagus sylvatica
T_77785	Pinus pinaster
T_77818	Pinus pinaster
T_77827	Quercus ilex
T_77845	Quercus ilex
T_77850	Fagus sylvatica
T_77860	Quercus ilex
T_77862	Quercus ilex
T_77898	Pinus pinaster
T_77904	Pinus pinaster
T_77908	Pinus pinaster
T_77943	Pinus pinaster
T_77945	Pinus pinaster
T_77947	Pinus pinaster
T_77954	Pinus pinaster
T_77958	Pinus pinaster
T_77982	Fagus sylvatica
T_78027	Fagus sylvatica
T_78050	Pinus pinaster
T_78058	Quercus ilex
T_78082	Fagus sylvatica
T_78115	Pinus pinaster
T_78127	Quercus ilex
T_78128	Pinus pinaster
T_78155	Fagus sylvatica
T_78157	Fagus sylvatica
T_78158	Pinus pinaster
T_78217	Fagus sylvatica
T_78233	Pinus pinaster
T_78288	Quercus ilex
T_78293	Quercus ilex
T_78315	Pinus pinaster
T_78317	Pinus pinaster
T_78327	Fagus sylvatica
T_78328	Pinus pinaster
T_78360	Quercus ilex
T_78363	Pinus pinaster
T_78374	Quercus ilex
T_78404	Quercus ilex
T_78420	Quercus ilex
T_78422	Fagus sylvatica
T_78471	Pinus pinaster
T_78472	Pinus pinaster
T_78476	Quercus ilex
T_78477	Pinus pinaster
T_78521	Quercus ilex
T_78522	Fagus sylvatica
T_78560	Pinus pinaster
T_78591	Fagus sylvatica
T_78592	Fagus sylvatica
T_78593	Fagus sylvatica
T_78634	Pinus pinaster
T_78635	Pinus pinaster
T_78638	Pinus pinaster
T_78639	Pinus pinaster
T_78663	Pinus pinaster
T_78701	Pinus pinaster
T_78721	Pinus pinaster
T_78723	Fagus sylvatica
T_78737	Pinus pinaster
T_78798	Pinus pinaster
T_78814	Quercus ilex
T_78822	Pinus pinaster
T_78912	Quercus ilex
T_78946	Quercus ilex
T_78963	Pinus pinaster
T_78972	Fagus sylvatica
T_79115	Fagus sylvatica
T_79205	Pinus pinaster
T_79410	Fagus sylvatica
T_80119	Fagus sylvatica
T_80168	Pinus pinaster
T_80195	Quercus ilex
T_86935	Fagus sylvatica
T_113866	Pinus pinaster
T_113867	Fagus sylvatica
T_113878	Pinus pinaster
T_113886	Pinus pinaster
T_113887	Quercus ilex
T_113889	Pinus pinaster
T_113894	Fagus sylvatica
T_113896	Pinus pinaster
T_113900	Quercus ilex
T_113906	Pinus pinaster
T_113907	Quercus ilex
T_113913	Quercus ilex
T_113929	Quercus ilex
T_113937	Quercus ilex
T_113938	Fagus sylvatica
T_113941	Fagus sylvatica
T_113947	Fagus sylvatica
T_113948	Quercus ilex
T_113954	Pinus pinaster
T_113963	Pinus pinaster
T_113964	Fagus sylvatica
T_113965	Pinus pinaster
T_113995	Fagus sylvatica
T_114002	Quercus ilex
T_114004	Fagus sylvatica
T_114030	Pinus pinaster
T_114033	Fagus sylvatica
T_114037	Pinus pinaster
T_114038	Pinus pinaster
T_114047	Quercus ilex
T_114049	Fagus sylvatica
T_114067	Quercus ilex
T_114077	Quercus ilex
T_114082	Pinus pinaster
T_114091	Pinus pinaster
T_114092	Pinus pinaster
T_114093	Quercus ilex
T_114103	Fagus sylvatica
T_114107	Quercus ilex
T_114115	Pinus pinaster
T_114117	Pinus pinaster
T_114119	Fagus sylvatica
T_114124	Fagus sylvatica
T_114131	Fagus sylvatica
T_114137	Pinus pinaster
T_114147	Pinus pinaster
T_114150	Quercus ilex
T_114158	Quercus ilex
T_114163	Pinus pinaster
T_114169	Fagus sylvatica
T_114179	Fagus sylvatica
T_114189	Fagus sylvatica
T_114192	Pinus pinaster
T_114197	Pinus pinaster
T_114201	Quercus ilex
T_114205	Fagus sylvatica
T_114207	Quercus ilex
T_114212	Quercus ilex
T_114234	Quercus ilex
T_114245	Quercus ilex
T_114247	Pinus pinaster
T_114248	Fagus sylvatica
T_114251	Quercus ilex
T_114255	Fagus sylvatica
T_114275	Pinus pinaster
T_114276	Pinus pinaster
T_114280	Fagus sylvatica
T_114282	Pinus pinaster
T_114297	Fagus sylvatica
T_114302	Fagus sylvatica
T_114309	Quercus ilex
T_114315	Fagus sylvatica
T_114316	Fagus sylvatica
T_114322	Quercus ilex
T_114323	Pinus pinaster
T_114326	Quercus ilex
T_114335	Pinus pinaster
T_114340	Fagus sylvatica
T_114341	Quercus ilex
T_114345	Pinus pinaster
T_114352	Fagus sylvatica
T_114362	Fagus sylvatica
T_114366	Pinus pinaster
T_114369	Pinus pinaster
T_114388	Pinus pinaster
T_114397	Quercus ilex
T_114400	Fagus sylvatica
T_114445	Fagus sylvatica
T_114446	Pinus pinaster
T_114452	Pinus pinaster
T_114454	Pinus pinaster
T_114455	Pinus pinaster
T_114479	Fagus sylvatica
T_114480	Fagus sylvatica
T_114485	Pinus pinaster
T_114486	Quercus ilex
T_114490	Pinus pinaster
T_114491	Pinus pinaster
T_114512	Quercus ilex
T_114530	Pinus pinaster
T_114533	Pinus pinaster
T_114538	Fagus sylvatica
T_114557	Quercus ilex
T_114559	Pinus pinaster
T_114570	Quercus ilex
T_114608	Quercus ilex
T_114612	Quercus ilex
T_114621	Fagus sylvatica
T_114625	Quercus ilex
T_114627	Quercus ilex
T_114628	Quercus ilex
T_114629	Quercus ilex
T_114633	Pinus pinaster
T_114640	Fagus sylvatica
T_114646	Quercus ilex
T_114650	Pinus pinaster
T_114651	Quercus ilex
T_114657	Fagus sylvatica
T_114680	Quercus ilex
T_114683	Pinus pinaster
T_114692	Quercus ilex
T_114693	Pinus pinaster
T_114698	Pinus pinaster
T_114718	Pinus pinaster
T_114720	Quercus ilex
T_114735	Fagus sylvatica
T_114749	Quercus ilex
T_114762	Pinus pinaster
T_114766	Pinus pinaster
T_114776	Quercus ilex
T_114783	Fagus sylvatica
T_114792	Fagus sylvatica
T_114797	Fagus sylvatica
T_114806	Quercus ilex
T_114826	Pinus pinaster
T_114834	Quercus ilex
T_114839	Quercus ilex
T_114851	Quercus ilex
T_114857	Pinus pinaster
T_114887	Fagus sylvatica
T_114894	Pinus pinaster
T_114897	Pinus pinaster
T_114900	Fagus sylvatica
T_114906	Pinus pinaster
T_114907	Fagus sylvatica
T_114909	Fagus sylvatica
T_114927	Fagus sylvatica
T_114928	Pinus pinaster
T_114940	Fagus sylvatica
T_114951	Fagus sylvatica
T_114958	Quercus ilex
T_114960	Quercus ilex
T_114983	Fagus sylvatica
T_114986	Quercus ilex
T_114990	Fagus sylvatica
T_115007	Pinus pinaster
T_115013	Quercus ilex
T_115014	Quercus ilex
T_115036	Quercus ilex
T_115037	Fagus sylvatica
T_115046	Quercus ilex
T_115050	Fagus sylvatica
T_115064	Pinus pinaster
T_115072	Pinus pinaster
T_115074	Pinus pinaster
T_115077	Pinus pinaster
T_115078	Fagus sylvatica
T_115099	Quercus ilex
T_115101	Quercus ilex
T_115109	Pinus pinaster
T_115113	Fagus sylvatica
T_115114	Pinus pinaster
T_115119	Pinus pinaster
T_115120	Pinus pinaster
T_115135	Pinus pinaster
T_115140	Quercus ilex
T_115154	Quercus ilex
T_115163	Fagus sylvatica
T_115167	Pinus pinaster
T_115171	Quercus ilex
T_115174	Fagus sylvatica
T_115186	Quercus ilex
T_115202	Quercus ilex
T_115205	Pinus pinaster
T_115209	Pinus pinaster
T_115217	Pinus pinaster
T_115219	Fagus sylvatica
T_115222	Quercus ilex
T_115239	Quercus ilex
T_115240	Pinus pinaster
T_115249	Fagus sylvatica
T_115255	Pinus pinaster
T_115256	Fagus sylvatica
T_115259	Fagus sylvatica
T_115272	Pinus pinaster
T_115276	Quercus ilex
T_115281	Pinus pinaster
T_115282	Quercus ilex
T_115300	Fagus sylvatica
T_115305	Pinus pinaster
T_115315	Pinus pinaster
T_115318	Fagus sylvatica
T_115323	Quercus ilex
T_115327	Quercus ilex
T_115333	Fagus sylvatica
T_115340	Fagus sylvatica
T_115341	Pinus pinaster
T_115342	Quercus ilex
T_115346	Pinus pinaster
T_115359	Quercus ilex
T_115364	Quercus ilex
T_115366	Fagus sylvatica
T_115367	Pinus pinaster
T_115368	Quercus ilex
T_115375	Pinus pinaster
T_115377	Fagus sylvatica
T_115386	Fagus sylvatica
T_115388	Fagus sylvatica
T_115393	Quercus ilex
T_115396	Fagus sylvatica
T_115408	Pinus pinaster
T_115423	Fagus sylvatica
T_115425	Fagus sylvatica
T_115433	Fagus sylvatica
T_115445	Fagus sylvatica
T_115453	Pinus pinaster
T_115462	Fagus sylvatica
T_115466	Quercus ilex
T_115468	Pinus pinaster
T_115482	Pinus pinaster
T_115485	Pinus pinaster
T_115490	Fagus sylvatica
T_115493	Pinus pinaster
T_115500	Pinus pinaster
T_115501	Fagus sylvatica
T_115504	Quercus ilex
T_115505	Pinus pinaster
T_115508	Pinus pinaster
T_115535	Pinus pinaster
T_115544	Fagus sylvatica
T_115554	Fagus sylvatica
T_115565	Pinus pinaster
T_115581	Fagus sylvatica
T_115585	Pinus pinaster
T_115587	Quercus ilex
T_115622	Fagus sylvatica
T_115630	Pinus pinaster
T_115633	Fagus sylvatica
T_115646	Fagus sylvatica
T_115712	Pinus pinaster
T_115716	Pinus pinaster
T_115719	Quercus ilex
T_115720	Quercus ilex
T_115733	Fagus sylvatica
T_115742	Quercus ilex
T_115744	Quercus ilex
T_115760	Pinus pinaster
T_115766	Fagus sylvatica
T_115771	Quercus ilex
T_115779	Fagus sylvatica
T_115783	Fagus sylvatica
T_115786	Fagus sylvatica
T_115803	Fagus sylvatica
T_115806	Pinus pinaster
T_115808	Pinus pinaster
T_115830	Quercus ilex
T_115836	Fagus sylvatica
T_115848	Pinus pinaster
T_115856	Fagus sylvatica
T_115862	Pinus pinaster
T_115869	Pinus pinaster
T_115880	Fagus sylvatica
T_115918	Quercus ilex
T_115923	Quercus ilex
T_115937	Quercus ilex
T_115943	Pinus pinaster
T_115949	Quercus ilex
T_115953	Pinus pinaster
T_115954	Fagus sylvatica
T_115957	Fagus sylvatica
T_115959	Pinus pinaster
T_115978	Pinus pinaster
T_115989	Quercus ilex
T_116000	Fagus sylvatica
T_116005	Quercus ilex
T_116036	Fagus sylvatica
T_116041	Fagus sylvatica
T_116043	Fagus sylvatica
T_116048	Pinus pinaster
T_116075	Fagus sylvatica
T_116076	Fagus sylvatica
T_116087	Fagus sylvatica
T_116088	Pinus pinaster
T_116097	Fagus sylvatica
T_116098	Quercus ilex
T_116099	Pinus pinaster
T_116103	Pinus pinaster
T_116104	Pinus pinaster
T_116108	Pinus pinaster
T_116115	Pinus pinaster
T_116119	Pinus pinaster
T_116122	Pinus pinaster
T_116128	Fagus sylvatica
T_116129	Pinus pinaster
T_116134	Quercus ilex
T_116155	Quercus ilex
T_116165	Fagus sylvatica
T_116177	Quercus ilex
T_116183	Pinus pinaster
T_116184	Quercus ilex
T_116191	Pinus pinaster
T_116211	Pinus pinaster
T_116230	Quercus ilex
T_116238	Pinus pinaster
T_116244	Pinus pinaster
T_116252	Pinus pinaster
T_116256	Pinus pinaster
T_116267	Pinus pinaster
T_116270	Quercus ilex
T_116272	Fagus sylvatica
T_116279	Pinus pinaster
T_116285	Quercus ilex
T_116299	Pinus pinaster
T_116304	Pinus pinaster
T_116305	Pinus pinaster
T_116314	Quercus ilex
T_116315	Pinus pinaster
T_116322	Fagus sylvatica
T_116329	Fagus sylvatica
T_116335	Quercus ilex
T_116377	Fagus sylvatica
T_116386	Fagus sylvatica
T_116390	Pinus pinaster
T_116404	Fagus sylvatica
T_116421	Fagus sylvatica
T_116423	Pinus pinaster
T_116424	Pinus pinaster
T_116425	Quercus ilex
T_116433	Quercus ilex
T_116437	Quercus ilex
T_116451	Quercus ilex
T_116453	Fagus sylvatica
T_116456	Pinus pinaster
T_116475	Pinus pinaster
T_116481	Fagus sylvatica
T_116504	Fagus sylvatica
T_116505	Fagus sylvatica
T_116523	Fagus sylvatica
T_116525	Fagus sylvatica
T_116535	Quercus ilex
T_116567	Quercus ilex
T_116569	Pinus pinaster
T_116580	Quercus ilex
T_116590	Pinus pinaster
T_116591	Fagus sylvatica
T_116605	Fagus sylvatica
T_116612	Fagus sylvatica
T_116619	Fagus sylvatica
T_116633	Quercus ilex
T_116644	Pinus pinaster
T_116658	Quercus ilex
T_116667	Quercus ilex
T_116677	Pinus pinaster
T_116696	Pinus pinaster
T_116699	Fagus sylvatica
T_116700	Pinus pinaster
T_116701	Fagus sylvatica
T_116710	Quercus ilex
T_116720	Quercus ilex
T_116729	Fagus sylvatica
T_116730	Pinus pinaster
T_116732	Quercus ilex
T_116738	Quercus ilex
T_116741	Pinus pinaster
T_116743	Quercus ilex
T_116747	Quercus ilex
T_116783	Pinus pinaster
T_116788	Quercus ilex
T_116801	Quercus ilex
T_116802	Pinus pinaster
T_116819	Quercus ilex
T_116863	Fagus sylvatica
T_116882	Fagus sylvatica
T_116883	Pinus pinaster
T_116884	Pinus pinaster
T_116890	Fagus sylvatica
T_116894	Fagus sylvatica
T_116897	Pinus pinaster
T_116903	Fagus sylvatica
T_116949	Fagus sylvatica
T_116955	Quercus ilex
T_116956	Pinus pinaster
T_116958	Quercus ilex
T_116961	Fagus sylvatica
T_116967	Fagus sylvatica
T_117027	Quercus ilex
T_117028	Quercus ilex
T_117030	Pinus pinaster
T_117041	Pinus pinaster
T_117045	Quercus ilex
T_117055	Quercus ilex
T_117057	Quercus ilex
T_117061	Fagus sylvatica
T_117078	Quercus ilex
T_117093	Pinus pinaster
