Name	Description	Date	Accuracy	Matthews Correlation	Missing
Random	random guessing	2022-07-13T10:21:40Z	0.3306732606496572	-0.00440701414863776	0
Majority	just predicting majority class	2022-08-18T10:01:24Z	0.5155670450713724	0	0
KNN 3	k-nearest neighbors (k=3)	2022-08-18T10:41:28Z	0.9245259324375236	0.7706517809198871	0.1049792064740924
KNN 8	k-nearest neighbors (k=8)	2022-08-18T11:29:53Z	0.9187492151199296	0.7623501954802985	0.1049792064740924
KNN 5 scaled	MinMaxScaler	2022-09-08T10:50:12Z	0.938088660052744	0.7907117779590759	0.1049792064740924
KNN 7 robust	RobustScaler	2022-09-08T11:01:13Z	0.935200301393947	0.7863444349296476	0.1049792064740924
KNN 5 STD	StandardScaler	2022-09-08T11:01:53Z	0.931809619490142	0.7812483200193796	0.1049792064740924
Tree_Depth10	Decision Tree Depth 10	2022-10-05T10:05:24Z	0.925781740550044	0.772218700251604	0.1049792064740924
Tree_Depth13	Decision Tree Depth 13	2022-10-05T10:09:53Z	0.9274142910963205	0.7748358979209817	0.1049792064740924
Student	Best Decision Tree from SBi2	2022-10-28T07:44:32Z	0.9275398719075724	0.7755146386608869	0.1049792064740924
svm_first	no other parameters set	2022-11-16T10:54:42Z	0.8961446690945624	0.7288217571882387	0.1049792064740924
SVM Scaled	MinMaxScaler	2022-11-16T11:40:38Z	0.9201306040437022	0.7638359288677873	0.1049792064740924
AdaBoost	max_depth=10, n_estimators=10	2023-01-18T10:48:42Z	0.9434886349365816	0.7988301201720914	0.1049792064740924
RandomForestEntropy	n_estimators = 1000, criterion = entropy	2023-01-18T11:18:07Z	0.9532839382142408	0.8130405719665813	0.1049792064740924
RandomForestLogloss	n_estimators = 1000, criterion = logloss	2023-01-18T11:20:16Z	0.953786261459249	0.8137799312778232	0.1049792064740924
