(c) Der Bundeswahlleiter, Wiesbaden 2021																	
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0)																	
																	
Ergebnisse nach Wahlkreisen																	
Status:	Endgültig																
Stand:	14.10.2021	15:11															
																	
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM																	
																	
Wahlart	Wahltag	Gebietsart	Gebietsnummer	Gebietsname	UegGebietsart	UegGebietsnummer	Gruppenart	Gruppenname	Gruppenreihenfolge	Stimme	Anzahl	Prozent	VorpAnzahl	VorpProzent	DiffProzent	DiffProzentPkt	Bemerkung
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Wahlberechtigte	-4		61181072		61688485		-0,822541		
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Wählende	-3		46854508	76,583339	46976341	76,150907	-0,25935	0,432432	
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Ungültige	-2	1	492495	1,051116	586726	1,248982	-16,060478	-0,197866	
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Ungültige	-2	2	412485	0,880353	460849	0,981024	-10,494544	-0,100671	
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Gültige	-1	1	46362013	98,948884	46389615	98,751018	-0,0595	0,197866	
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Gültige	-1	2	46442023	99,119647	46515492	99,018976	-0,157945	0,100671	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	CDU	1	1	10451524	22,543292	14030751	30,245457	-25,509875	-7,702165	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	CDU	1	2	8775471	18,89554	12447656	26,760237	-29,501016	-7,864697	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	SPD	2	1	12234690	26,389471	11429231	24,637478	7,04736	1,751993	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	SPD	2	2	11955434	25,742707	9539381	20,507965	25,327146	5,234742	
