GENESIS-Tabelle: 12421-104r
Demographiespiegel: Gemeinden, Bevölkerung,;;;;;;;
Geschlecht, Altersgruppen, Stichtag;;;;;;;
Bevölkerungsvorausberechnungen-Demographiespiegel;;;;;;;
31.12.2019;;;;;;;
;;;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung
;;;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren
;;;Insgesamt;unter 18;18 bis unter 40;40 bis unter 65;65 oder mehr Jahre
;;;1000;1000;1000;1000;1000
09161000;Ingolstadt (Krfr.St);männlich;69,47;11,94;23,44;23,06;11,04
09161000;Ingolstadt (Krfr.St);weiblich;67,92;11,27;20,11;22,18;14,36
09161000;Ingolstadt (Krfr.St);Insgesamt;137,39;23,21;43,55;45,24;25,40
09162000;München, Landeshauptstadt;männlich;723,66;120,32;256,68;236,00;110,66
09162000;München, Landeshauptstadt;weiblich;760,56;115,45;258,49;238,20;148,42
09162000;München, Landeshauptstadt;Insgesamt;1484,23;235,77;515,18;474,20;259,09
09163000;Rosenheim (Krfr.St);männlich;31,36;5,39;10,15;10,47;5,35
09163000;Rosenheim (Krfr.St);weiblich;32,19;5,06;9,27;10,44;7,43
09163000;Rosenheim (Krfr.St);Insgesamt;63,55;10,44;19,41;20,91;12,79
09171111;Altötting, St;männlich;6,17;1,05;1,62;2,21;1,29
09171111;Altötting, St;weiblich;6,83;1,03;1,60;2,31;1,90
09171111;Altötting, St;Insgesamt;13,00;2,07;3,23;4,52;3,19
09171112;Burghausen, St;männlich;9,21;1,64;2,53;3,23;1,82
09171112;Burghausen, St;weiblich;9,50;1,52;2,25;3,20;2,54
09171112;Burghausen, St;Insgesamt;18,71;3,15;4,78;6,43;4,36
09171113;Burgkirchen a.d.Alz;männlich;5,29;0,95;1,48;1,90;0,96
09171113;Burgkirchen a.d.Alz;weiblich;5,22;0,92;1,28;1,78;1,23
09171113;Burgkirchen a.d.Alz;Insgesamt;10,50;1,87;2,76;3,68;2,19
09171114;Emmerting;männlich;2,08;0,34;0,50;0,83;0,41
09171114;Emmerting;weiblich;2,07;0,38;0,44;0,76;0,49
09171114;Emmerting;Insgesamt;4,15;0,71;0,94;1,59;0,90
09171115;Erlbach;männlich;0,58;0,10;0,15;0,23;0,10
09171115;Erlbach;weiblich;0,60;0,10;0,16;0,22;0,13
09171115;Erlbach;Insgesamt;1,18;0,20;0,31;0,45;0,23
09171116;Feichten a.d.Alz;männlich;0,64;0,12;0,18;0,22;0,11
09171116;Feichten a.d.Alz;weiblich;0,58;0,09;0,15;0,23;0,12
09171116;Feichten a.d.Alz;Insgesamt;1,22;0,21;0,33;0,46;0,22
09171117;Garching a.d.Alz;männlich;4,27;0,69;1,17;1,61;0,80
09171117;Garching a.d.Alz;weiblich;4,38;0,68;1,06;1,55;1,09
09171117;Garching a.d.Alz;Insgesamt;8,65;1,36;2,23;3,16;1,89
09171118;Haiming;männlich;1,24;0,21;0,31;0,50;0,22
09171118;Haiming;weiblich;1,27;0,19;0,29;0,48;0,31
09171118;Haiming;Insgesamt;2,52;0,40;0,60;0,98;0,53
09171119;Halsbach;männlich;0,51;0,12;0,14;0,17;0,09
09171119;Halsbach;weiblich;0,50;0,10;0,13;0,17;0,10
09171119;Halsbach;Insgesamt;1,02;0,22;0,27;0,34;0,18
09171121;Kastl;männlich;1,38;0,24;0,39;0,52;0,23
09171121;Kastl;weiblich;1,42;0,25;0,38;0,53;0,26
09171121;Kastl;Insgesamt;2,80;0,49;0,77;1,05;0,48
09171122;Kirchweidach;männlich;1,34;0,27;0,44;0,44;0,20
09171122;Kirchweidach;weiblich;1,30;0,29;0,36;0,43;0,22
09171122;Kirchweidach;Insgesamt;2,64;0,56;0,79;0,87;0,42
09171123;Marktl, M;männlich;1,40;0,23;0,31;0,54;0,31
09171123;Marktl, M;weiblich;1,35;0,21;0,29;0,52;0,34
09171123;Marktl, M;Insgesamt;2,75;0,44;0,60;1,06;0,65
09171124;Mehring;männlich;1,25;0,24;0,30;0,47;0,24
09171124;Mehring;weiblich;1,21;0,23;0,28;0,45;0,25
