GENESIS-Tabelle: 12421-105
Demographiespiegel: Gemeinden, Durchschnittsalter/;;
Jugendquotient/Altenquotient, Stichtage;;
Bevölkerungsvorausberechnungen-Demographiespiegel;;
Durchschnittsalter der Bevölkerung (Jahre);;
;;2019
09161000;Ingolstadt (Krfr.St);42,2
09162000;München, Landeshauptstadt;41,6
09163000;Rosenheim (Krfr.St);43,0
09171111;Altötting, St;46,0
09171112;Burghausen, St;45,2
09171113;Burgkirchen a.d.Alz;43,7
09171114;Emmerting;45,3
09171115;Erlbach;43,8
09171116;Feichten a.d.Alz;43,0
09171117;Garching a.d.Alz;45,2
09171118;Haiming;45,6
09171119;Halsbach;40,8
09171121;Kastl;42,8
09171122;Kirchweidach;39,7
09171123;Marktl, M;46,3
09171124;Mehring;43,4
09171125;Neuötting, St;44,7
09171126;Perach;43,6
09171127;Pleiskirchen;42,8
09171129;Reischach;43,4
09171130;Stammham;45,8
09171131;Teising;44,7
09171132;Töging a.Inn, St;45,8
09171133;Tüßling, M;44,0
09171134;Tyrlaching;42,2
09171135;Unterneukirchen;41,9
09171137;Winhöring;45,8
09172111;Ainring;45,5
09172112;Anger;43,4
09172114;Bad Reichenhall, GKSt;48,8
09172115;Bayerisch Gmain;48,3
09172116;Berchtesgaden, M;46,2
09172117;Bischofswiesen;46,5
09172118;Freilassing, St;43,9
09172122;Laufen, St;44,3
09172124;Marktschellenberg, M;44,3
09172128;Piding;45,7
09172129;Ramsau b.Berchtesgaden;44,1
09172130;Saaldorf-Surheim;43,5
09172131;Schneizlreuth;45,9
09172132;Schönau a.Königssee;44,5
09172134;Teisendorf, M;43,3
09172444;Gemeindefreie Gebiete;-
09173111;Bad Heilbrunn;44,4
09173112;Bad Tölz, St;45,4
09173113;Benediktbeuern;46,2
09173115;Bichl;41,9
09173118;Dietramszell;42,7
09173120;Egling;43,4
09173123;Eurasburg;43,7
09173124;Gaißach;42,5
09173126;Geretsried, St;44,8
09173127;Greiling;44,4
09173130;Icking;44,4
09173131;Jachenau;41,7
09173133;Kochel a.See;46,2
09173134;Königsdorf;43,2
09173135;Lenggries;44,7
09173137;Münsing;44,3
09173140;Reichersbeuern;41,6
09173141;Sachsenkam;42,0
09173142;Schlehdorf;44,6
09173145;Wackersberg;44,0
09173147;Wolfratshausen, St;44,7
09173444;Gemeindefreie Gebiete;-
09174111;Altomünster, M;43,5
09174113;Bergkirchen;42,8
09174115;Dachau, GKSt;43,0
09174118;Erdweg;42,3
09174121;Haimhausen;42,0
09174122;Hebertshausen;43,0
09174126;Karlsfeld;43,0
