Stadtbezirk;Jahr;0_2;3_5;6_9;10_14;15_17;18_24;25_29;30_44;45_59;60_64;65_74;75_84;85 und aelter;Geo Shape;Nummer;Einwohner;Geo Point
Altstadt;2020;434;236;214;216;157;3520;3432;4486;2360;693;1121;1138;678;;;;
Zellerau;2020;324;277;309;452;252;1209;1233;2693;2248;661;1093;850;332;;;;
Duerrbachtal;2020;197;160;193;201;140;509;404;1075;1306;387;725;548;182;;;;
Grombuehl;2020;162;128;137;205;116;1713;1386;1800;1279;382;550;438;161;;;;
Lindleinsmuehle;2020;147;167;204;218;129;346;269;912;873;366;532;606;258;;;;
Frauenland;2020;525;423;518;626;341;2852;2102;3846;3253;997;1669;1446;727;;;;
Sanderau;2020;337;224;217;260;128;1843;2010;3113;1822;628;997;1132;726;;;;
Heidingsfeld;2020;232;246;306;369;248;868;662;1791;2193;727;1178;960;406;;;;
Heuchelhof;2020;280;303;391;483;296;635;460;1827;1846;736;1321;814;269;;;;
Steinbachtal;2020;134;128;156;208;123;415;333;890;1017;295;442;420;147;;;;
Versbach;2020;186;190;209;290;172;481;476;1375;1515;474;707;611;241;;;;
Lengfeld;2020;292;294;369;419;257;841;773;2220;2163;733;1298;908;257;;;;
Rottenbauer;2020;89;145;185;243;132;303;174;757;1058;371;408;261;82;;;;
Altstadt;2019;418;227;213;227;162;3617;3529;4384;2437;695;1114;1198;661;;;;
Zellerau;2019;348;280;312;448;267;1249;1220;2708;2269;666;1051;903;306;;;;
Duerrbachtal;2019;216;161;184;196;144;557;434;1051;1341;371;692;576;171;;;;
Grombuehl;2019;158;128;139;192;140;1781;1419;1786;1318;355;549;482;149;;;;
Lindleinsmuehle;2019;167;157;185;227;124;348;269;920;896;346;525;637;249;;;;
Frauenland;2019;476;416;506;609;344;3108;2153;3687;3305;958;1597;1486;693;;;;
Sanderau;2019;337;233;219;244;124;1967;2019;3110;1876;581;971;1217;725;;;;
Heidingsfeld;2019;223;246;291;389;248;947;700;1864;2235;747;1111;1021;386;;;;
Heuchelhof;2019;266;326;377;499;303;667;489;1824;1859;761;1227;845;245;;;;
Steinbachtal;2019;131;122;180;191;130;414;341;887;1032;282;426;442;144;;;;
Versbach;2019;183;187;215;286;169;500;491;1328;1555;448;659;633;240;;;;
Lengfeld;2019;289;308;349;415;258;891;772;2217;2224;718;1266;920;238;;;;
Rottenbauer;2019;110;153;188;235;133;330;203;770;1091;343;366;270;76;;;;
Altstadt;2018;409;226;219;231;182;3654;3565;4393;2493;660;1115;1243;643;;;;
Zellerau;2018;321;274;321;464;245;1294;1261;2586;2324;643;1017;869;277;;;;
Duerrbachtal;2018;197;162;182;206;159;535;435;1046;1351;373;703;554;158;;;;
Grombuehl;2018;167;116;143;187;134;1772;1411;1737;1340;350;554;484;151;;;;
Lindleinsmuehle;2018;153;150;179;213;127;315;259;867;932;346;512;656;232;;;;
Frauenland;2018;457;420;483;596;347;3141;2067;3509;3281;958;1531;1506;649;;;;
Sanderau;2018;330;216;227;247;137;2014;2012;2981;1930;581;991;1256;715;;;;
Heidingsfeld;2018;235;243;267;406;260;907;759;1807;2265;734;1103;1058;378;;;;
Heuchelhof;2018;283;312;369;514;278;698;530;1845;1889;796;1136;870;244;;;;
Steinbachtal;2018;138;123;172;193;130;390;374;887;1030;294;439;426;136;;;;
Versbach;2018;200;175;229;294;154;488;518;1331;1549;437;677;643;231;;;;
Lengfeld;2018;309;325;334;431;276;888;808;2267;2217;744;1255;893;219;;;;
Rottenbauer;2018;119;160;191;223;126;346;203;770;1112;322;357;264;69;;;;
Altstadt;2017;366;239;209;233;184;3659;3454;4225;2530;642;1123;1257;647;;;;
Zellerau;2017;309;247;354;423;274;1273;1315;2512;2346;620;996;877;286;;;;
Duerrbachtal;2017;188;160;174;201;168;589;458;1009;1425;370;690;562;146;;;;
Grombuehl;2017;167;124;150;187;114;1712;1447;1694;1364;354;547;484;146;;;;
Lindleinsmuehle;2017;147;151;174;209;110;326;276;856;963;312;544;628;241;;;;
Frauenland;2017;446;402;485;578;341;2979;1922;3297;3221;927;1488;1461;599;;;;
Sanderau;2017;326;201;220;250;151;2034;1987;2864;1970;592;984;1297;798;;;;
Heidingsfeld;2017;234;238;287;422;264;954;746;1805;2315;717;1092;1071;372;;;;
Heuchelhof;2017;295;310;360;507;248;710;609;1849;1920;812;1101;865;236;;;;
Steinbachtal;2017;138;130;161;180;142;411;328;870;1037;285;440;406;138;;;;
