datum	wahl	ags	gebiet-nr	gebiet-name	max-schnellmeldungen	anz-schnellmeldungen	A1	A2	A3	A	B	B1	C	D	E	F	D1	F1	D2	F2	D3	F3	D4	F4	D5	F5	D6	F6	D7	F7	D8	F8	D9	F9	D10	F10	D11	F11	D12	F12	D13	F13	D14	F14	D15	F15	D16	F16	D17	F17	D18	F18	D19	F19	D20	F20	D21	F21	D22	F22	D23	F23	D24	F24	D25	F25	D26	F26	D27	F27
26.09.2021	Wahl zum Deutschen Bundestag	9663000		ALTSTADT	32	32	5959	9117	0	15076	12529	8761	107	12422	42	12487	2814	2333	1845	2030	0	477	1530	1538	4449	4267	793	835	380	233	167	71	0	115	0	5	0	163	0	45	0	2	0	28	0	12	0	3	0	7	242	123	0	8	0	2	0	12	0	2	97	41	0	39	0	7	0	89	105	0
26.09.2021	Wahl zum Deutschen Bundestag	9663000		ZELLERAU	12	12	4313	4097	0	8410	6226	3905	77	6149	41	6185	1370	1173	1221	1240	0	393	589	529	1844	1731	513	541	246	159	95	37	0	69	0	9	0	76	0	21	0	1	0	8	0	7	0	3	0	3	172	79	0	2	0	3	0	8	0	0	33	17	0	24	0	15	0	37	66	0
26.09.2021	Wahl zum Deutschen Bundestag	9663000		DÜRRBACHTAL	10	10	1936	2517	0	4453	3690	2384	43	3647	17	3673	1410	1174	627	744	0	242	407	380	686	674	153	130	166	110	49	21	0	59	0	6	0	23	0	21	0	1	0	6	0	3	0	0	0	1	84	43	0	2	0	0	0	1	0	2	19	6	0	7	0	7	0	10	46	0
26.09.2021	Wahl zum Deutschen Bundestag	9663000		GROMBÜHL	10	10	2900	3188	0	6088	4558	3052	42	4516	14	4544	883	733	844	845	0	202	479	495	1553	1446	364	376	170	118	65	38	0	64	0	2	0	66	0	26	0	0	0	3	0	7	0	2	0	1	93	48	0	6	0	2	0	1	0	0	29	14	0	12	0	9	0	28	36	0
26.09.2021	Wahl zum Deutschen Bundestag	9663000		LINDLEINSMÜHLE	4	4	1916	1386	0	3302	2128	1303	38	2090	23	2105	726	646	473	494	0	275	248	184	266	255	131	96	128	55	23	11	0	16	0	1	0	15	0	5	0	1	0	3	0	3	0	1	0	1	62	19	0	1	0	0	0	3	0	1	5	2	0	10	0	3	0	4	28	0
26.09.2021	Wahl zum Deutschen Bundestag	9663000		FRAUENLAND	26	26	6084	8374	0	14458	12074	7958	91	11983	41	12033	3398	2905	1867	2167	0	520	1482	1429	3630	3417	585	600	399	265	172	81	0	131	0	10	0	111	0	40	0	5	0	16	0	9	0	0	0	4	282	154	0	7	0	3	0	7	0	3	66	34	0	24	0	12	0	79	102	0
26.09.2021	Wahl zum Deutschen Bundestag	9663000		SANDERAU	16	16	4463	6685	0	11148	9191	6361	63	9128	29	9162	2273	1951	1574	1681	0	331	1008	979	3020	2888	529	554	268	224	133	56	0	84	0	4	0	78	0	44	0	1	0	13	0	7	0	2	0	0	191	116	0	7	0	0	0	5	0	1	66	23	0	18	0	16	0	79	66	0
26.09.2021	Wahl zum Deutschen Bundestag	9663000		HEIDINGSFELD	14	14	3652	4135	0	7787	5934	3918	76	5858	44	5890	2134	1788	1095	1268	0	405	587	549	1138	1074	252	257	282	181	98	53	0	70	0	6	0	46	0	10	0	2	0	4	0	6	0	1	0	0	172	77	0	7	0	4	0	5	0	2	32	13	0	18	0	10	0	34	68	0
26.09.2021	Wahl zum Deutschen Bundestag	9663000		HEUCHELHOF	12	12	4108	2408	0	6516	4291	2295	105	4186	54	4237	1499	1274	858	856	0	645	555	425	557	565	215	161	229	84	35	18	0	48	0	0	0	18	0	18	0	3	0	2	0	10	0	0	0	1	167	58	0	1	0	1	0	1	0	1	15	6	0	17	0	10	0	14	56	0
26.09.2021	Wahl zum Deutschen Bundestag	9663000		STEINBACHTAL	8	8	1318	2368	0	3686	3227	2262	15	3212	2	3225	1089	959	405	443	0	127	535	548	856	817	130	131	81	62	30	10	0	32	0	1	0	16	0	3	0	1	0	5	0	0	0	0	0	0	58	35	0	1	0	2	0	3	0	1	10	5	0	0	0	5	0	18	18	0
26.09.2021	Wahl zum Deutschen Bundestag	9663000		VERSBACH	8	8	2262	3075	0	5337	4368	2949	48	4320	17	4351	1492	1251	864	943	0	279	489	443	839	864	183	163	214	158	65	24	0	43	0	3	0	32	0	25	0	2	0	3	0	13	0	1	0	2	109	57	0	3	0	1	0	5	0	4	13	7	0	9	0	8	0	8	52	0
26.09.2021	Wahl zum Deutschen Bundestag	9663000		LENGFELD	14	14	3620	4529	0	8149	6418	4321	69	6349	25	6393	2250	1889	1265	1378	0	441	780	714	1166	1168	252	241	298	175	80	41	0	62	0	12	0	54	0	27	0	4	0	8	0	8	0	2	0	2	165	87	0	6	0	1	0	4	0	0	21	9	0	27	0	17	0	16	72	0
26.09.2021	Wahl zum Deutschen Bundestag	9663000		ROTTENBAUER	6	6	1483	1694	0	3177	2608	1608	59	2549	23	2585	944	769	442	494	0	232	284	296	498	498	82	81	120	84	39	19	0	16	0	4	0	12	0	13	0	0	0	0	0	6	0	0	0	0	89	34	0	2	0	1	0	2	0	0	23	8	0	3	0	5	0	6	28	0
