Ort	Partei	Stadt	Durchschnittsalter	Erststimmen	ErststimmenAnteil	Zweitstimmen	ZweitstimmenAnteil
Altertheim	Alternative für Deutschland	FALSE	44	0	0	105	0.07749077490774908
Bergtheim	Alternative für Deutschland	FALSE	42.4	0	0	180	0.071202531645569625
Bieberehren	Alternative für Deutschland	FALSE	45.1	0	0	47	0.07742998352553541
Eisingen	Alternative für Deutschland	FALSE	44.3	0	0	138	0.06442577030812324
Erlabrunn	Alternative für Deutschland	FALSE	43.5	0	0	49	0.038950715421303655
Estenfeld	Alternative für Deutschland	FALSE	44.5	0	0	197	0.053928278127566384
Gaukönigshofen	Alternative für Deutschland	FALSE	44.2	0	0	129	0.07401032702237521
Gerbrunn	Alternative für Deutschland	FALSE	42.8	0	0	223	0.05415250121418164
Geroldshausen	Alternative für Deutschland	FALSE	43.1	0	0	60	0.06749156355455568
Greußenheim	Alternative für Deutschland	FALSE	45	0	0	92	0.08006962576153177
Güntersleben	Alternative für Deutschland	FALSE	43.1	0	0	227	0.0761744966442953
Hausen b.Würzburg	Alternative für Deutschland	FALSE	43.1	0	0	142	0.08333333333333333
Hettstadt	Alternative für Deutschland	FALSE	45	0	0	160	0.06392329204954054
Holzkirchen	Alternative für Deutschland	FALSE	47.1	0	0	51	0.07391304347826087
Kirchheim	Alternative für Deutschland	FALSE	45.3	0	0	111	0.07414829659318638
Kist	Alternative für Deutschland	FALSE	45.7	0	0	163	0.09571344685848503
Kleinrinderfeld	Alternative für Deutschland	FALSE	44.9	0	0	111	0.08314606741573034
Kürnach	Alternative für Deutschland	FALSE	42.8	0	0	162	0.04880988249472733
Leinach	Alternative für Deutschland	FALSE	44.4	0	0	156	0.07306791569086651
Margetshöchheim	Alternative für Deutschland	FALSE	48	0	0	106	0.04700665188470066
Markt Bütthard	Alternative für Deutschland	FALSE	45.7	0	0	73	0.08174692049272117
Markt Eisenheim	Alternative für Deutschland	FALSE	44.3	0	0	56	0.061269146608315096
Markt Frickenhausen a.Main	Alternative für Deutschland	FALSE	46.5	0	0	72	0.08933002481389578
Markt Gelchsheim	Alternative für Deutschland	FALSE	44.5	0	0	43	0.07478260869565218
Markt Giebelstadt	Alternative für Deutschland	FALSE	43.1	0	0	375	0.117813383600377
Markt Helmstadt	Alternative für Deutschland	FALSE	44	0	0	154	0.08266237251744499
Markt Höchberg	Alternative für Deutschland	FALSE	46	0	0	304	0.04790419161676647
Markt Neubrunn	Alternative für Deutschland	FALSE	44.9	0	0	161	0.11012311901504789
Markt Randersacker	Alternative für Deutschland	FALSE	46.3	0	0	153	0.0648854961832061
Markt Reichenberg	Alternative für Deutschland	FALSE	45.1	0	0	195	0.0683491062039958
Markt Remlingen	Alternative für Deutschland	FALSE	46.2	0	0	94	0.09242871189773845
Markt Rimpar	Alternative für Deutschland	FALSE	44.9	0	0	369	0.07319976195199365
Markt Sommerhausen	Alternative für Deutschland	FALSE	45	0	0	52	0.03754512635379061
Markt Winterhausen	Alternative für Deutschland	FALSE	47.3	0	0	72	0.07346938775510205
Markt Zell a.Main	Alternative für Deutschland	FALSE	44.5	0	0	187	0.07024793388429752
Oberpleichfeld	Alternative für Deutschland	FALSE	42.5	0	0	84	0.11067193675889328
Prosselsheim	Alternative für Deutschland	FALSE	43.1	0	0	61	0.07558859975216853
Riedenheim	Alternative für Deutschland	FALSE	46.6	0	0	78	0.14028776978417265
Rottendorf	Alternative für Deutschland	FALSE	44.4	0	0	217	0.060529986052998606
Sonderhofen	Alternative für Deutschland	FALSE	43.6	0	0	56	0.09135399673735727
Stadt Aub	Alternative für Deutschland	FALSE	46.3	0	0	70	0.072992700729927
Stadt Eibelstadt	Alternative für Deutschland	FALSE	46.6	0	0	118	0.05370960400546199
Stadt Ochsenfurt	Alternative für Deutschland	FALSE	45.3	0	0	570	0.08397171479080731
Stadt Röttingen	Alternative für Deutschland	FALSE	47	0	0	99	0.09049360146252285
Tauberrettersheim	Alternative für Deutschland	FALSE	44.1	0	0	61	0.10445205479452055
Theilheim	Alternative für Deutschland	FALSE	43.5	0	0	151	0.09263803680981596
Thüngersheim	Alternative für Deutschland	FALSE	45.9	0	0	91	0.047919957872564506
Uettingen	Alternative für Deutschland	FALSE	43.5	0	0	104	0.08659450457951708
Unterpleichfeld	Alternative für Deutschland	FALSE	42.6	0	0	141	0.07078313253012049
Veitshöchheim	Alternative für Deutschland	FALSE	46.5	0	0	400	0.06587615283267458
Waldbrunn	Alternative für Deutschland	FALSE	43.4	0	0	139	0.07213284898806435
Waldbüttelbrunn	Alternative für Deutschland	FALSE	44.6	0	0	239	0.07324547961998161
Altertheim	Basisdemokratische Partei Deutschland	FALSE	44	42	0.03155522163786627	23	0.016974169741697416
Bergtheim	Basisdemokratische Partei Deutschland	FALSE	42.4	60	0.023952095808383235	28	0.011075949367088608
Bieberehren	Basisdemokratische Partei Deutschland	FALSE	45.1	10	0.016611295681063124	7	0.011532125205930808
Eisingen	Basisdemokratische Partei Deutschland	FALSE	44.3	75	0.03532736693358455	47	0.021942110177404293
Erlabrunn	Basisdemokratische Partei Deutschland	FALSE	43.5	28	0.022328548644338118	12	0.009538950715421303
Estenfeld	Basisdemokratische Partei Deutschland	FALSE	44.5	88	0.024142661179698217	39	0.010676156583629894
Gaukönigshofen	Basisdemokratische Partei Deutschland	FALSE	44.2	27	0.015771028037383176	13	0.007458405048766495
Gerbrunn	Basisdemokratische Partei Deutschland	FALSE	42.8	100	0.024396194193705784	50	0.012141816415735794
Geroldshausen	Basisdemokratische Partei Deutschland	FALSE	43.1	47	0.05353075170842825	25	0.0281214848143982
Greußenheim	Basisdemokratische Partei Deutschland	FALSE	45	50	0.043591979075850044	23	0.020017406440382943
Güntersleben	Basisdemokratische Partei Deutschland	FALSE	43.1	79	0.02676151761517615	33	0.011073825503355705
Hausen b.Würzburg	Basisdemokratische Partei Deutschland	FALSE	43.1	64	0.03778040141676505	33	0.01936619718309859
Hettstadt	Basisdemokratische Partei Deutschland	FALSE	45	86	0.03445512820512821	47	0.018777467039552537
Holzkirchen	Basisdemokratische Partei Deutschland	FALSE	47.1	25	0.036231884057971016	14	0.020289855072463767
Kirchheim	Basisdemokratische Partei Deutschland	FALSE	45.3	22	0.014775016789791807	13	0.008684034736138945
Kist	Basisdemokratische Partei Deutschland	FALSE	45.7	48	0.02845287492590397	12	0.007046388725778039
Kleinrinderfeld	Basisdemokratische Partei Deutschland	FALSE	44.9	35	0.026435045317220542	11	0.008239700374531835
