Stadtbezirk	Jahr	Durchschnittsalter
Altstadt	2019	39.1
Altstadt	2018	39.1
Altstadt	2014	40.1
Altstadt	2015	39.8
Altstadt	2020	39.1
Altstadt	2017	39.2
Altstadt	2016	39.5
Altstadt	2011	40.3
Altstadt	2013	40.2
Altstadt	2012	40.3
Zellerau	2019	41.8
Zellerau	2018	41.5
Zellerau	2014	41.9
Zellerau	2015	41.8
Zellerau	2020	42.0
Zellerau	2017	41.5
Zellerau	2016	41.5
Zellerau	2011	41.4
Zellerau	2013	41.7
Zellerau	2012	41.7
Duerrbachtal	2019	44.4
Duerrbachtal	2018	44.3
Duerrbachtal	2014	44.1
Duerrbachtal	2015	43.9
Duerrbachtal	2020	44.9
Duerrbachtal	2017	44.1
Duerrbachtal	2016	44.0
Duerrbachtal	2011	43.2
Duerrbachtal	2013	43.7
Duerrbachtal	2012	43.5
Grombuehl	2019	38.0
Grombuehl	2018	38.2
Grombuehl	2014	37.9
Grombuehl	2015	38.1
Grombuehl	2020	38.1
Grombuehl	2017	38.2
Grombuehl	2016	38.2
Grombuehl	2011	37.7
Grombuehl	2013	38.0
Grombuehl	2012	37.9
Lindleinsmuehle	2019	46.1
Lindleinsmuehle	2018	46.7
Lindleinsmuehle	2014	47.1
Lindleinsmuehle	2015	47.3
Lindleinsmuehle	2020	46.1
Lindleinsmuehle	2017	46.8
Lindleinsmuehle	2016	47.0
Lindleinsmuehle	2011	46.3
Lindleinsmuehle	2013	46.9
Lindleinsmuehle	2012	46.5
Frauenland	2019	41.3
Frauenland	2018	41.3
Frauenland	2014	41.8
Frauenland	2015	41.8
Frauenland	2020	41.6
Frauenland	2017	41.3
Frauenland	2016	41.5
Frauenland	2011	41.6
Frauenland	2013	41.6
Frauenland	2012	41.6
Sanderau	2019	42.5
Sanderau	2018	42.6
Sanderau	2014	43.8
Sanderau	2015	43.7
Sanderau	2020	42.6
Sanderau	2017	43.1
Sanderau	2016	43.5
Sanderau	2011	43.7
Sanderau	2013	43.7
Sanderau	2012	43.6
Heidingsfeld	2019	45.7
Heidingsfeld	2018	45.7
Heidingsfeld	2014	45.2
Heidingsfeld	2015	45.4
Heidingsfeld	2020	46.0
Heidingsfeld	2017	45.4
Heidingsfeld	2016	45.1
Heidingsfeld	2011	44.5
Heidingsfeld	2013	45.0
Heidingsfeld	2012	44.7
Heuchelhof	2019	44.2
Heuchelhof	2018	44.0
Heuchelhof	2014	43.3
Heuchelhof	2015	43.3
Heuchelhof	2020	44.6
Heuchelhof	2017	43.7
Heuchelhof	2016	43.4
Heuchelhof	2011	42.8
Heuchelhof	2013	43.0
Heuchelhof	2012	42.8
Steinbachtal	2019	43.5
Steinbachtal	2018	43.3
Steinbachtal	2014	43.5
Steinbachtal	2015	43.2
Steinbachtal	2020	43.6
Steinbachtal	2017	43.3
Steinbachtal	2016	43.3
Steinbachtal	2011	44.0
Steinbachtal	2013	43.5
Steinbachtal	2012	43.7
Versbach	2019	44.6
Versbach	2018	44.5
Versbach	2014	44.5
Versbach	2015	44.5
Versbach	2020	44.7
Versbach	2017	44.5
Versbach	2016	44.4
Versbach	2011	43.9
Versbach	2013	44.3
Versbach	2012	44.1
Lengfeld	2019	43.8
Lengfeld	2018	43.4
Lengfeld	2014	43.1
Lengfeld	2015	43.1
Lengfeld	2020	44.0
Lengfeld	2017	43.3
Lengfeld	2016	43.1
Lengfeld	2011	42.3
Lengfeld	2013	42.7
Lengfeld	2012	42.7
Rottenbauer	2019	42.2
Rottenbauer	2018	41.8
Rottenbauer	2014	40.5
Rottenbauer	2015	40.7
Rottenbauer	2020	43.1
Rottenbauer	2017	41.3
Rottenbauer	2016	40.9
Rottenbauer	2011	39.2
Rottenbauer	2013	40.2
Rottenbauer	2012	39.9
