species	latitude	longitude	stem_diameter_cm	height_m	crown_radius_m
Fagus sylvatica	46.01	11.44	5	6.7	2.05
Fagus sylvatica	46.03	11.44	5	11.1	2.9
Fagus sylvatica	46.03	11.44	5	14.2	4
Fagus sylvatica	46.03	11.44	5	5.7	2.1
Fagus sylvatica	46.03	11.44	5	8	4.15
Fagus sylvatica	46.03	11.44	5	8	4.15
Quercus ilex	46.05	10.99	5	7.1	1.05
Quercus ilex	46.05	10.99	5	5.8	1.05
Quercus ilex	46.05	10.99	5	4.9	1.9
Quercus ilex	46.05	10.99	5	5.4	1.2
Quercus ilex	46.05	10.99	5	4.7	1.35
Quercus ilex	46.05	10.99	5	5.5	1.45
Quercus ilex	46.05	10.99	5	8.8	1.75
Quercus ilex	46.05	10.99	5	6.3	1.8
Quercus ilex	46.05	10.99	5	5.1	1.65
Fagus sylvatica	46.05	11	5	11.5	3.3
Fagus sylvatica	46.05	11	5	12.2	4.9
Fagus sylvatica	46.05	11	5	4.2	3.15
Fagus sylvatica	46.05	11	5	13.7	4.35
Fagus sylvatica	46.05	11	5	12	2.9
Fagus sylvatica	46.05	11.01	5	19.8	3
Fagus sylvatica	46.05	11.01	5	20.1	4.25
Fagus sylvatica	46.05	11.01	5	17.2	2.8
Fagus sylvatica	46.05	11.01	5	17.6	3.65
Fagus sylvatica	46.05	11.01	5	17.2	2.8
Fagus sylvatica	46.06	11	5	12.8	3.8
Fagus sylvatica	46.06	11	5	13.1	4
Fagus sylvatica	46.06	11	5	12.8	3.8
Fagus sylvatica	46	11.43	5	9.4	0.95
Fagus sylvatica	46	11.43	5	16.1	1.85
Fagus sylvatica	46	11.43	5	8.1	0.65
Fagus sylvatica	46	11.43	5	8.8	1.45
Fagus sylvatica	46.01	11.44	6	14.8	2.3
Fagus sylvatica	46.01	11.44	6	5.6	2.15
Fagus sylvatica	46.03	11.44	6	14.2	4
Fagus sylvatica	46.03	11.44	6	14.2	4
Quercus ilex	46.05	10.99	6	5.2	1.3
Quercus ilex	46.05	10.99	6	7.5	1.35
Quercus ilex	46.05	10.99	6	8.8	1.75
Quercus ilex	46.05	10.99	6	5.1	1.65
Quercus ilex	46.05	10.99	6	4.9	1.15
Quercus ilex	46.05	10.99	6	7.1	1.35
Fagus sylvatica	46.05	11	6	12.2	4.9
Fagus sylvatica	46.05	11	6	5.9	2.2
Fagus sylvatica	46.05	11	6	10.1	3.45
Fagus sylvatica	46.05	11	6	13.7	4.35
Fagus sylvatica	46.05	11	6	15.1	4.4
Fagus sylvatica	46.05	11	6	12	2.9
Fagus sylvatica	46.05	11.01	6	10.7	1.45
Fagus sylvatica	46.06	11	6	13.1	4
Fagus sylvatica	46	11.43	6	7.4	1.05
Fagus sylvatica	46	11.43	6	12.8	0.8
Fagus sylvatica	46	11.43	6	9.6	0.65
