tree_id	species
T_75102	Fagus sylvatica
T_75103	Fagus sylvatica
T_75118	Fagus sylvatica
T_75152	Quercus ilex
T_75161	Quercus ilex
T_75164	Quercus ilex
T_75188	Quercus ilex
T_75216	Fagus sylvatica
T_75222	Fagus sylvatica
T_75246	Fagus sylvatica
T_75255	Fagus sylvatica
T_75265	Fagus sylvatica
T_75273	Fagus sylvatica
T_75277	Fagus sylvatica
T_75616	Fagus sylvatica
T_75618	Fagus sylvatica
T_75619	Fagus sylvatica
T_75621	Fagus sylvatica
T_75701	Fagus sylvatica
T_75712	Fagus sylvatica
T_75724	Fagus sylvatica
T_76033	Fagus sylvatica
T_76036	Quercus ilex
T_76102	Fagus sylvatica
T_76237	Fagus sylvatica
T_76244	Fagus sylvatica
T_76266	Fagus sylvatica
T_76276	Fagus sylvatica
T_76279	Fagus sylvatica
T_76284	Quercus ilex
T_76297	Fagus sylvatica
T_76298	Fagus sylvatica
T_76300	Fagus sylvatica
T_76329	Fagus sylvatica
T_76335	Fagus sylvatica
T_76463	Fagus sylvatica
T_76533	Fagus sylvatica
T_76624	Fagus sylvatica
T_76626	Fagus sylvatica
T_76640	Fagus sylvatica
T_76702	Fagus sylvatica
T_76762	Fagus sylvatica
T_76766	Fagus sylvatica
T_76799	Fagus sylvatica
T_76817	Fagus sylvatica
T_76887	Fagus sylvatica
T_76892	Fagus sylvatica
T_76910	Fagus sylvatica
T_76912	Fagus sylvatica
T_76916	Fagus sylvatica
T_76962	Fagus sylvatica
T_77059	Fagus sylvatica
T_77067	Fagus sylvatica
T_77086	Fagus sylvatica
T_77087	Fagus sylvatica
T_77111	Fagus sylvatica
T_77158	Fagus sylvatica
T_77178	Fagus sylvatica
T_77218	Fagus sylvatica
T_77252	Fagus sylvatica
T_77271	Fagus sylvatica
T_77279	Fagus sylvatica
T_77284	Fagus sylvatica
T_77285	Fagus sylvatica
T_77299	Fagus sylvatica
T_77302	Fagus sylvatica
T_77352	Fagus sylvatica
T_77374	Fagus sylvatica
T_77389	Fagus sylvatica
T_77393	Fagus sylvatica
T_77395	Fagus sylvatica
T_77410	Fagus sylvatica
T_77465	Fagus sylvatica
T_77473	Fagus sylvatica
T_77500	Fagus sylvatica
T_77510	Fagus sylvatica
T_77523	Fagus sylvatica
T_77525	Fagus sylvatica
T_77528	Fagus sylvatica
T_77536	Fagus sylvatica
T_77539	Fagus sylvatica
T_77552	Fagus sylvatica
T_77558	Fagus sylvatica
T_77627	Fagus sylvatica
T_77630	Fagus sylvatica
T_77668	Fagus sylvatica
T_77691	Fagus sylvatica
T_77696	Fagus sylvatica
T_77705	Fagus sylvatica
T_77746	Fagus sylvatica
T_77748	Fagus sylvatica
T_77754	Fagus sylvatica
T_77779	Fagus sylvatica
T_77784	Fagus sylvatica
T_77785	Fagus sylvatica
T_77818	Fagus sylvatica
T_77827	Fagus sylvatica
T_77845	Fagus sylvatica
T_77850	Fagus sylvatica
T_77860	Fagus sylvatica
T_77862	Fagus sylvatica
T_77898	Fagus sylvatica
T_77904	Fagus sylvatica
T_77908	Fagus sylvatica
T_77943	Fagus sylvatica
T_77945	Fagus sylvatica
T_77947	Fagus sylvatica
T_77954	Fagus sylvatica
T_77958	Fagus sylvatica
T_77982	Fagus sylvatica
T_78027	Fagus sylvatica
T_78050	Fagus sylvatica
T_78058	Fagus sylvatica
T_78082	Fagus sylvatica
T_78115	Fagus sylvatica
T_78127	Fagus sylvatica
T_78128	Fagus sylvatica
T_78155	Fagus sylvatica
T_78157	Fagus sylvatica
T_78158	Fagus sylvatica
T_78217	Fagus sylvatica
T_78233	Fagus sylvatica
T_78288	Fagus sylvatica
T_78293	Fagus sylvatica
T_78315	Fagus sylvatica
T_78317	Fagus sylvatica
T_78327	Fagus sylvatica
T_78328	Fagus sylvatica
T_78360	Fagus sylvatica
T_78363	Fagus sylvatica
T_78374	Fagus sylvatica
T_78404	Fagus sylvatica
T_78420	Fagus sylvatica
T_78422	Fagus sylvatica
T_78471	Fagus sylvatica
T_78472	Fagus sylvatica
T_78476	Fagus sylvatica
T_78477	Fagus sylvatica
T_78521	Fagus sylvatica
T_78522	Fagus sylvatica
T_78560	Fagus sylvatica
T_78591	Fagus sylvatica
T_78592	Fagus sylvatica
T_78593	Fagus sylvatica
T_78634	Fagus sylvatica
T_78635	Fagus sylvatica
T_78638	Fagus sylvatica
T_78639	Fagus sylvatica
T_78663	Fagus sylvatica
T_78701	Fagus sylvatica
T_78721	Fagus sylvatica
T_78723	Fagus sylvatica
T_78737	Fagus sylvatica
T_78798	Fagus sylvatica
T_78814	Fagus sylvatica
T_78822	Fagus sylvatica
T_78912	Fagus sylvatica
T_78946	Fagus sylvatica
T_78963	Fagus sylvatica
T_78972	Fagus sylvatica
T_79115	Fagus sylvatica
T_79205	Fagus sylvatica
T_79410	Fagus sylvatica
T_80119	Fagus sylvatica
T_80168	Fagus sylvatica
T_80195	Fagus sylvatica
T_86935	Fagus sylvatica
T_113866	Fagus sylvatica
T_113867	Fagus sylvatica
T_113878	Fagus sylvatica
T_113886	Fagus sylvatica
T_113887	Fagus sylvatica
T_113889	Fagus sylvatica
T_113894	Fagus sylvatica
T_113896	Fagus sylvatica
T_113900	Fagus sylvatica
T_113906	Fagus sylvatica
T_113907	Fagus sylvatica
T_113913	Fagus sylvatica
T_113929	Fagus sylvatica
T_113937	Fagus sylvatica
T_113938	Fagus sylvatica
T_113941	Fagus sylvatica
T_113947	Fagus sylvatica
T_113948	Fagus sylvatica
T_113954	Fagus sylvatica
T_113963	Fagus sylvatica
T_113964	Fagus sylvatica
T_113965	Fagus sylvatica
T_113995	Fagus sylvatica
T_114002	Fagus sylvatica
T_114004	Fagus sylvatica
T_114030	Fagus sylvatica
T_114033	Fagus sylvatica
T_114037	Fagus sylvatica
T_114038	Fagus sylvatica
T_114047	Fagus sylvatica
T_114049	Fagus sylvatica
T_114067	Fagus sylvatica
T_114077	Fagus sylvatica
T_114082	Fagus sylvatica
T_114091	Fagus sylvatica
T_114092	Fagus sylvatica
T_114093	Fagus sylvatica
T_114103	Fagus sylvatica
T_114107	Fagus sylvatica
T_114115	Fagus sylvatica
T_114117	Fagus sylvatica
T_114119	Fagus sylvatica
T_114124	Fagus sylvatica
T_114131	Fagus sylvatica
T_114137	Fagus sylvatica
T_114147	Fagus sylvatica
T_114150	Fagus sylvatica
T_114158	Fagus sylvatica
T_114163	Fagus sylvatica
T_114169	Fagus sylvatica
T_114179	Fagus sylvatica
T_114189	Fagus sylvatica
T_114192	Fagus sylvatica
T_114197	Fagus sylvatica
T_114201	Fagus sylvatica
T_114205	Fagus sylvatica
T_114207	Fagus sylvatica
T_114212	Fagus sylvatica
T_114234	Fagus sylvatica
T_114245	Fagus sylvatica
T_114247	Fagus sylvatica
T_114248	Fagus sylvatica
T_114251	Fagus sylvatica
T_114255	Fagus sylvatica
T_114275	Fagus sylvatica
T_114276	Fagus sylvatica
T_114280	Fagus sylvatica
T_114282	Fagus sylvatica
T_114297	Fagus sylvatica
T_114302	Fagus sylvatica
T_114309	Fagus sylvatica
T_114315	Fagus sylvatica
T_114316	Fagus sylvatica
T_114322	Fagus sylvatica
T_114323	Fagus sylvatica
T_114326	Fagus sylvatica
T_114335	Fagus sylvatica
T_114340	Fagus sylvatica
T_114341	Fagus sylvatica
T_114345	Fagus sylvatica
T_114352	Fagus sylvatica
T_114362	Fagus sylvatica
T_114366	Fagus sylvatica
T_114369	Fagus sylvatica
T_114388	Fagus sylvatica
T_114397	Fagus sylvatica
T_114400	Fagus sylvatica
T_114445	Fagus sylvatica
T_114446	Fagus sylvatica
T_114452	Fagus sylvatica
T_114454	Fagus sylvatica
T_114455	Fagus sylvatica
T_114479	Fagus sylvatica
T_114480	Fagus sylvatica
T_114485	Fagus sylvatica
T_114486	Fagus sylvatica
T_114490	Fagus sylvatica
T_114491	Fagus sylvatica
T_114512	Fagus sylvatica
T_114530	Fagus sylvatica
T_114533	Fagus sylvatica
T_114538	Fagus sylvatica
T_114557	Fagus sylvatica
T_114559	Fagus sylvatica
T_114570	Fagus sylvatica
T_114608	Fagus sylvatica
T_114612	Fagus sylvatica
T_114621	Fagus sylvatica
T_114625	Fagus sylvatica
T_114627	Fagus sylvatica
T_114628	Fagus sylvatica
T_114629	Fagus sylvatica
T_114633	Fagus sylvatica
T_114640	Fagus sylvatica
T_114646	Fagus sylvatica
T_114650	Fagus sylvatica
T_114651	Fagus sylvatica
T_114657	Fagus sylvatica
T_114680	Fagus sylvatica
T_114683	Fagus sylvatica
T_114692	Fagus sylvatica
T_114693	Fagus sylvatica
T_114698	Fagus sylvatica
T_114718	Fagus sylvatica
T_114720	Fagus sylvatica
T_114735	Fagus sylvatica
T_114749	Fagus sylvatica
T_114762	Fagus sylvatica
T_114766	Fagus sylvatica
T_114776	Fagus sylvatica
T_114783	Fagus sylvatica
T_114792	Fagus sylvatica
T_114797	Fagus sylvatica
T_114806	Fagus sylvatica
T_114826	Fagus sylvatica
T_114834	Fagus sylvatica
T_114839	Fagus sylvatica
T_114851	Fagus sylvatica
T_114857	Fagus sylvatica
T_114887	Fagus sylvatica
T_114894	Fagus sylvatica
T_114897	Fagus sylvatica
T_114900	Fagus sylvatica
T_114906	Fagus sylvatica
T_114907	Fagus sylvatica
T_114909	Fagus sylvatica
T_114927	Fagus sylvatica
T_114928	Fagus sylvatica
T_114940	Fagus sylvatica
T_114951	Fagus sylvatica
T_114958	Fagus sylvatica
T_114960	Fagus sylvatica
T_114983	Fagus sylvatica
T_114986	Fagus sylvatica
T_114990	Fagus sylvatica
T_115007	Fagus sylvatica
T_115013	Fagus sylvatica
T_115014	Fagus sylvatica
T_115036	Fagus sylvatica
T_115037	Fagus sylvatica
T_115046	Fagus sylvatica
T_115050	Fagus sylvatica
T_115064	Fagus sylvatica
T_115072	Fagus sylvatica
T_115074	Fagus sylvatica
T_115077	Fagus sylvatica
T_115078	Fagus sylvatica
T_115099	Fagus sylvatica
T_115101	Fagus sylvatica
T_115109	Fagus sylvatica
T_115113	Fagus sylvatica
T_115114	Fagus sylvatica
T_115119	Fagus sylvatica
T_115120	Fagus sylvatica
T_115135	Fagus sylvatica
T_115140	Fagus sylvatica
T_115154	Fagus sylvatica
T_115163	Fagus sylvatica
T_115167	Fagus sylvatica
T_115171	Fagus sylvatica
T_115174	Fagus sylvatica
T_115186	Fagus sylvatica
T_115202	Fagus sylvatica
T_115205	Fagus sylvatica
T_115209	Fagus sylvatica
T_115217	Fagus sylvatica
T_115219	Fagus sylvatica
T_115222	Fagus sylvatica
T_115239	Fagus sylvatica
T_115240	Fagus sylvatica
T_115249	Fagus sylvatica
T_115255	Fagus sylvatica
T_115256	Fagus sylvatica
T_115259	Fagus sylvatica
T_115272	Fagus sylvatica
T_115276	Fagus sylvatica
T_115281	Fagus sylvatica
T_115282	Fagus sylvatica
T_115300	Fagus sylvatica
T_115305	Fagus sylvatica
T_115315	Fagus sylvatica
T_115318	Fagus sylvatica
T_115323	Fagus sylvatica
T_115327	Fagus sylvatica
T_115333	Fagus sylvatica
T_115340	Fagus sylvatica
T_115341	Fagus sylvatica
T_115342	Fagus sylvatica
T_115346	Fagus sylvatica
T_115359	Fagus sylvatica
T_115364	Fagus sylvatica
T_115366	Fagus sylvatica
T_115367	Fagus sylvatica
T_115368	Fagus sylvatica
T_115375	Fagus sylvatica
T_115377	Fagus sylvatica
T_115386	Fagus sylvatica
T_115388	Fagus sylvatica
T_115393	Fagus sylvatica
T_115396	Fagus sylvatica
T_115408	Fagus sylvatica
T_115423	Fagus sylvatica
T_115425	Fagus sylvatica
T_115433	Fagus sylvatica
T_115445	Fagus sylvatica
T_115453	Fagus sylvatica
T_115462	Fagus sylvatica
T_115466	Fagus sylvatica
T_115468	Fagus sylvatica
T_115482	Fagus sylvatica
T_115485	Fagus sylvatica
T_115490	Fagus sylvatica
T_115493	Fagus sylvatica
T_115500	Fagus sylvatica
T_115501	Fagus sylvatica
T_115504	Fagus sylvatica
T_115505	Fagus sylvatica
T_115508	Fagus sylvatica
T_115535	Fagus sylvatica
T_115544	Fagus sylvatica
T_115554	Fagus sylvatica
T_115565	Fagus sylvatica
T_115581	Fagus sylvatica
T_115585	Fagus sylvatica
T_115587	Fagus sylvatica
T_115622	Fagus sylvatica
T_115630	Fagus sylvatica
T_115633	Fagus sylvatica
T_115646	Fagus sylvatica
T_115712	Fagus sylvatica
T_115716	Fagus sylvatica
T_115719	Fagus sylvatica
T_115720	Fagus sylvatica
T_115733	Fagus sylvatica
T_115742	Fagus sylvatica
T_115744	Fagus sylvatica
T_115760	Fagus sylvatica
T_115766	Fagus sylvatica
T_115771	Fagus sylvatica
T_115779	Fagus sylvatica
T_115783	Fagus sylvatica
T_115786	Fagus sylvatica
T_115803	Fagus sylvatica
T_115806	Fagus sylvatica
T_115808	Fagus sylvatica
T_115830	Fagus sylvatica
T_115836	Fagus sylvatica
T_115848	Fagus sylvatica
T_115856	Fagus sylvatica
T_115862	Fagus sylvatica
T_115869	Fagus sylvatica
T_115880	Fagus sylvatica
T_115918	Fagus sylvatica
T_115923	Fagus sylvatica
T_115937	Fagus sylvatica
T_115943	Fagus sylvatica
T_115949	Fagus sylvatica
T_115953	Fagus sylvatica
T_115954	Fagus sylvatica
T_115957	Fagus sylvatica
T_115959	Fagus sylvatica
T_115978	Fagus sylvatica
T_115989	Fagus sylvatica
T_116000	Fagus sylvatica
T_116005	Fagus sylvatica
T_116036	Fagus sylvatica
T_116041	Fagus sylvatica
T_116043	Fagus sylvatica
T_116048	Fagus sylvatica
T_116075	Fagus sylvatica
T_116076	Fagus sylvatica
T_116087	Fagus sylvatica
T_116088	Fagus sylvatica
T_116097	Fagus sylvatica
T_116098	Fagus sylvatica
T_116099	Fagus sylvatica
T_116103	Fagus sylvatica
T_116104	Fagus sylvatica
T_116108	Fagus sylvatica
T_116115	Fagus sylvatica
T_116119	Fagus sylvatica
T_116122	Fagus sylvatica
T_116128	Fagus sylvatica
T_116129	Fagus sylvatica
T_116134	Fagus sylvatica
T_116155	Fagus sylvatica
T_116165	Fagus sylvatica
T_116177	Fagus sylvatica
T_116183	Fagus sylvatica
T_116184	Fagus sylvatica
T_116191	Fagus sylvatica
T_116211	Fagus sylvatica
T_116230	Fagus sylvatica
T_116238	Fagus sylvatica
T_116244	Fagus sylvatica
T_116252	Fagus sylvatica
T_116256	Fagus sylvatica
T_116267	Fagus sylvatica
T_116270	Fagus sylvatica
T_116272	Fagus sylvatica
T_116279	Fagus sylvatica
T_116285	Fagus sylvatica
T_116299	Fagus sylvatica
T_116304	Fagus sylvatica
T_116305	Fagus sylvatica
T_116314	Fagus sylvatica
T_116315	Fagus sylvatica
T_116322	Fagus sylvatica
T_116329	Fagus sylvatica
T_116335	Fagus sylvatica
T_116377	Fagus sylvatica
T_116386	Fagus sylvatica
T_116390	Fagus sylvatica
T_116404	Fagus sylvatica
T_116421	Fagus sylvatica
T_116423	Fagus sylvatica
T_116424	Fagus sylvatica
T_116425	Fagus sylvatica
T_116433	Fagus sylvatica
T_116437	Fagus sylvatica
T_116451	Fagus sylvatica
T_116453	Fagus sylvatica
T_116456	Fagus sylvatica
T_116475	Fagus sylvatica
T_116481	Fagus sylvatica
T_116504	Fagus sylvatica
T_116505	Fagus sylvatica
T_116523	Fagus sylvatica
T_116525	Fagus sylvatica
T_116535	Fagus sylvatica
T_116567	Fagus sylvatica
T_116569	Fagus sylvatica
T_116580	Fagus sylvatica
T_116590	Fagus sylvatica
T_116591	Fagus sylvatica
T_116605	Fagus sylvatica
T_116612	Fagus sylvatica
T_116619	Fagus sylvatica
T_116633	Fagus sylvatica
T_116644	Fagus sylvatica
T_116658	Fagus sylvatica
T_116667	Fagus sylvatica
T_116677	Fagus sylvatica
T_116696	Fagus sylvatica
T_116699	Fagus sylvatica
T_116700	Fagus sylvatica
T_116701	Fagus sylvatica
T_116710	Fagus sylvatica
