	tree_id	species
0	T_75102	Fagus sylvatica
1	T_75103	Fagus sylvatica
2	T_75118	Fagus sylvatica
3	T_75152	Quercus ilex
4	T_75161	Quercus ilex
5	T_75164	Quercus ilex
6	T_75188	Quercus ilex
7	T_75216	Fagus sylvatica
8	T_75222	Quercus ilex
9	T_75246	Fagus sylvatica
10	T_75255	Fagus sylvatica
11	T_75265	Fagus sylvatica
12	T_75273	Fagus sylvatica
13	T_75277	Fagus sylvatica
14	T_75616	Fagus sylvatica
15	T_75618	Fagus sylvatica
16	T_75619	Fagus sylvatica
17	T_75621	Fagus sylvatica
18	T_75701	Fagus sylvatica
19	T_75712	Fagus sylvatica
20	T_75724	Fagus sylvatica
21	T_76033	Fagus sylvatica
22	T_76036	Quercus ilex
23	T_76102	Fagus sylvatica
24	T_76237	Fagus sylvatica
25	T_76244	Fagus sylvatica
26	T_76266	Fagus sylvatica
27	T_76276	Fagus sylvatica
28	T_76279	Fagus sylvatica
29	T_76284	Quercus ilex
30	T_76297	Fagus sylvatica
31	T_76298	Fagus sylvatica
32	T_76300	Fagus sylvatica
33	T_76329	Quercus ilex
34	T_76335	Fagus sylvatica
35	T_76463	Fagus sylvatica
36	T_76533	Fagus sylvatica
37	T_76624	Fagus sylvatica
38	T_76626	Fagus sylvatica
39	T_76640	Fagus sylvatica
40	T_76702	Fagus sylvatica
41	T_76762	Fagus sylvatica
42	T_76766	Fagus sylvatica
43	T_76799	Fagus sylvatica
44	T_76817	Fagus sylvatica
45	T_76887	Fagus sylvatica
46	T_76892	Fagus sylvatica
47	T_76910	Fagus sylvatica
48	T_76912	Fagus sylvatica
49	T_76916	Fagus sylvatica
50	T_76962	Fagus sylvatica
51	T_77059	Fagus sylvatica
52	T_77067	Fagus sylvatica
53	T_77086	Fagus sylvatica
54	T_77087	Fagus sylvatica
55	T_77111	Fagus sylvatica
56	T_77158	Fagus sylvatica
57	T_77178	Fagus sylvatica
58	T_77218	Fagus sylvatica
59	T_77252	Fagus sylvatica
60	T_77271	Fagus sylvatica
61	T_77279	Fagus sylvatica
62	T_77284	Fagus sylvatica
63	T_77285	Fagus sylvatica
64	T_77299	Fagus sylvatica
65	T_77302	Fagus sylvatica
66	T_77352	Fagus sylvatica
67	T_77374	Fagus sylvatica
68	T_77389	Fagus sylvatica
69	T_77393	Fagus sylvatica
70	T_77395	Fagus sylvatica
71	T_77410	Fagus sylvatica
72	T_77465	Fagus sylvatica
73	T_77473	Fagus sylvatica
74	T_77500	Fagus sylvatica
75	T_77510	Fagus sylvatica
76	T_77523	Fagus sylvatica
77	T_77525	Fagus sylvatica
78	T_77528	Fagus sylvatica
79	T_77536	Fagus sylvatica
80	T_77539	Fagus sylvatica
81	T_77552	Fagus sylvatica
82	T_77558	Fagus sylvatica
83	T_77627	Fagus sylvatica
84	T_77630	Fagus sylvatica
85	T_77668	Fagus sylvatica
86	T_77691	Fagus sylvatica
87	T_77696	Fagus sylvatica
88	T_77705	Fagus sylvatica
89	T_77746	Fagus sylvatica
90	T_77748	Fagus sylvatica
91	T_77754	Fagus sylvatica
92	T_77779	Fagus sylvatica
93	T_77784	Fagus sylvatica
94	T_77785	Fagus sylvatica
95	T_77818	Fagus sylvatica
96	T_77827	Fagus sylvatica
97	T_77845	Fagus sylvatica
98	T_77850	Fagus sylvatica
99	T_77860	Fagus sylvatica
100	T_77862	Fagus sylvatica
101	T_77898	Fagus sylvatica
102	T_77904	Fagus sylvatica
103	T_77908	Fagus sylvatica
104	T_77943	Fagus sylvatica
105	T_77945	Fagus sylvatica
106	T_77947	Fagus sylvatica
107	T_77954	Fagus sylvatica
108	T_77958	Fagus sylvatica
109	T_77982	Fagus sylvatica
110	T_78027	Fagus sylvatica
111	T_78050	Fagus sylvatica
112	T_78058	Fagus sylvatica
113	T_78082	Fagus sylvatica
114	T_78115	Fagus sylvatica
115	T_78127	Fagus sylvatica
116	T_78128	Fagus sylvatica
117	T_78155	Fagus sylvatica
118	T_78157	Fagus sylvatica
119	T_78158	Fagus sylvatica
120	T_78217	Fagus sylvatica
121	T_78233	Fagus sylvatica
122	T_78288	Fagus sylvatica
123	T_78293	Fagus sylvatica
124	T_78315	Fagus sylvatica
125	T_78317	Fagus sylvatica
126	T_78327	Fagus sylvatica
127	T_78328	Fagus sylvatica
128	T_78360	Fagus sylvatica
129	T_78363	Fagus sylvatica
130	T_78374	Fagus sylvatica
131	T_78404	Fagus sylvatica
132	T_78420	Fagus sylvatica
133	T_78422	Fagus sylvatica
134	T_78471	Fagus sylvatica
135	T_78472	Fagus sylvatica
136	T_78476	Fagus sylvatica
137	T_78477	Fagus sylvatica
138	T_78521	Fagus sylvatica
139	T_78522	Fagus sylvatica
140	T_78560	Fagus sylvatica
141	T_78591	Fagus sylvatica
142	T_78592	Fagus sylvatica
143	T_78593	Fagus sylvatica
144	T_78634	Fagus sylvatica
145	T_78635	Fagus sylvatica
146	T_78638	Fagus sylvatica
147	T_78639	Fagus sylvatica
148	T_78663	Fagus sylvatica
149	T_78701	Fagus sylvatica
150	T_78721	Fagus sylvatica
151	T_78723	Fagus sylvatica
152	T_78737	Fagus sylvatica
153	T_78798	Fagus sylvatica
154	T_78814	Fagus sylvatica
155	T_78822	Fagus sylvatica
156	T_78912	Fagus sylvatica
157	T_78946	Fagus sylvatica
158	T_78963	Fagus sylvatica
159	T_78972	Fagus sylvatica
160	T_79115	Fagus sylvatica
161	T_79205	Fagus sylvatica
162	T_79410	Fagus sylvatica
163	T_80119	Fagus sylvatica
164	T_80168	Fagus sylvatica
165	T_80195	Fagus sylvatica
166	T_86935	Fagus sylvatica
167	T_113866	Fagus sylvatica
168	T_113867	Fagus sylvatica
169	T_113878	Fagus sylvatica
170	T_113886	Fagus sylvatica
171	T_113887	Fagus sylvatica
172	T_113889	Fagus sylvatica
173	T_113894	Fagus sylvatica
174	T_113896	Fagus sylvatica
175	T_113900	Fagus sylvatica
176	T_113906	Fagus sylvatica
177	T_113907	Fagus sylvatica
178	T_113913	Fagus sylvatica
179	T_113929	Fagus sylvatica
180	T_113937	Fagus sylvatica
181	T_113938	Fagus sylvatica
182	T_113941	Fagus sylvatica
183	T_113947	Fagus sylvatica
184	T_113948	Fagus sylvatica
185	T_113954	Fagus sylvatica
186	T_113963	Fagus sylvatica
187	T_113964	Fagus sylvatica
188	T_113965	Fagus sylvatica
189	T_113995	Fagus sylvatica
190	T_114002	Fagus sylvatica
191	T_114004	Fagus sylvatica
192	T_114030	Fagus sylvatica
193	T_114033	Fagus sylvatica
194	T_114037	Fagus sylvatica
195	T_114038	Fagus sylvatica
196	T_114047	Fagus sylvatica
197	T_114049	Fagus sylvatica
198	T_114067	Fagus sylvatica
199	T_114077	Fagus sylvatica
200	T_114082	Fagus sylvatica
201	T_114091	Fagus sylvatica
202	T_114092	Fagus sylvatica
203	T_114093	Fagus sylvatica
204	T_114103	Fagus sylvatica
205	T_114107	Fagus sylvatica
206	T_114115	Fagus sylvatica
207	T_114117	Fagus sylvatica
208	T_114119	Fagus sylvatica
209	T_114124	Fagus sylvatica
210	T_114131	Fagus sylvatica
211	T_114137	Fagus sylvatica
212	T_114147	Fagus sylvatica
213	T_114150	Fagus sylvatica
214	T_114158	Fagus sylvatica
215	T_114163	Fagus sylvatica
216	T_114169	Fagus sylvatica
217	T_114179	Fagus sylvatica
218	T_114189	Fagus sylvatica
219	T_114192	Fagus sylvatica
